# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TX
# 
  260,20160101,   75
  260,20160102,   63
  260,20160103,   82
  260,20160104,   70
  260,20160105,   77
  260,20160106,   47
  260,20160107,   79
  260,20160108,   83
  260,20160109,   79
  260,20160110,   90
  260,20160111,   67
  260,20160112,   72
  260,20160113,   70
  260,20160114,   53
  260,20160115,   40
  260,20160116,   56
  260,20160117,   30
  260,20160118,    0
  260,20160119,    7
  260,20160120,   53
  260,20160121,   15
  260,20160122,   57
  260,20160123,   90
  260,20160124,  104
  260,20160125,  146
  260,20160126,  111
  260,20160127,  124
  260,20160128,   90
  260,20160129,  100
  260,20160130,   99
  260,20160131,  108
  260,20160201,  119
  260,20160202,  114
  260,20160203,   70
  260,20160204,   77
  260,20160205,  109
  260,20160206,  106
  260,20160207,  111
  260,20160208,   99
  260,20160209,   82
  260,20160210,   83
  260,20160211,   83
  260,20160212,   66
  260,20160213,   44
  260,20160214,   26
  260,20160215,   56
  260,20160216,   61
  260,20160217,   35
  260,20160218,   31
  260,20160219,   83
  260,20160220,  111
  260,20160221,  116
  260,20160222,  113
  260,20160223,   79
  260,20160224,   65
  260,20160225,   54
  260,20160226,   55
  260,20160227,   63
  260,20160228,   66
  260,20160229,   67
  260,20160301,   86
  260,20160302,   90
  260,20160303,   84
  260,20160304,   32
  260,20160305,   64
  260,20160306,   73
  260,20160307,   78
  260,20160308,   83
  260,20160309,   81
  260,20160310,   92
  260,20160311,   85
  260,20160312,  101
  260,20160313,   99
  260,20160314,  104
  260,20160315,   83
  260,20160316,   90
  260,20160317,  120
  260,20160318,   68
  260,20160319,   75
  260,20160320,   96
  260,20160321,   93
  260,20160322,  101
  260,20160323,  101
  260,20160324,   99
  260,20160325,   96
  260,20160326,  149
  260,20160327,  133
  260,20160328,  129
  260,20160329,  112
  260,20160330,  117
  260,20160331,  116
  260,20160401,  130
  260,20160402,  134
  260,20160403,  204
  260,20160404,  158
  260,20160405,  133
  260,20160406,  117
  260,20160407,  104
  260,20160408,  115
  260,20160409,  149
  260,20160410,  157
  260,20160411,  182
  260,20160412,  167
  260,20160413,  158
  260,20160414,  167
  260,20160415,  141
  260,20160416,  118
  260,20160417,  106
  260,20160418,  130
  260,20160419,  136
  260,20160420,  138
  260,20160421,  166
  260,20160422,  125
  260,20160423,   93
  260,20160424,   88
  260,20160425,   80
  260,20160426,   77
  260,20160427,  107
  260,20160428,   93
  260,20160429,  106
  260,20160430,  112
  260,20160501,  141
  260,20160502,  179
  260,20160503,  140
  260,20160504,  160
  260,20160505,  188
  260,20160506,  236
  260,20160507,  258
  260,20160508,  252
  260,20160509,  253
  260,20160510,  221
  260,20160511,  255
  260,20160512,  251
  260,20160513,  222
  260,20160514,  121
  260,20160515,  121
  260,20160516,  136
  260,20160517,  181
  260,20160518,  187
  260,20160519,  173
  260,20160520,  186
  260,20160521,  234
  260,20160522,  190
  260,20160523,  133
  260,20160524,  146
  260,20160525,  145
  260,20160526,  193
  260,20160527,  209
  260,20160528,  227
  260,20160529,  205
  260,20160530,  180
  260,20160531,  226
  260,20160601,  243
  260,20160602,  172
  260,20160603,  214
  260,20160604,  275
  260,20160605,  256
  260,20160606,  256
  260,20160607,  265
  260,20160608,  216
  260,20160609,  203
  260,20160610,  212
  260,20160611,  208
  260,20160612,  211
  260,20160613,  190
  260,20160614,  191
  260,20160615,  187
  260,20160616,  211
  260,20160617,  195
  260,20160618,  171
  260,20160619,  189
  260,20160620,  168
  260,20160621,  201
  260,20160622,  249
  260,20160623,  284
  260,20160624,  227
  260,20160625,  193
  260,20160626,  183
  260,20160627,  189
  260,20160628,  218
  260,20160629,  202
  260,20160630,  192
  260,20160701,  198
  260,20160702,  187
  260,20160703,  198
  260,20160704,  228
  260,20160705,  181
  260,20160706,  194
  260,20160707,  221
  260,20160708,  212
  260,20160709,  236
  260,20160710,  274
  260,20160711,  217
  260,20160712,  203
  260,20160713,  183
  260,20160714,  192
  260,20160715,  213
  260,20160716,  226
  260,20160717,  238
  260,20160718,  265
  260,20160719,  295
  260,20160720,  329
  260,20160721,  274
  260,20160722,  261
  260,20160723,  253
  260,20160724,  255
  260,20160725,  224
  260,20160726,  234
  260,20160727,  213
  260,20160728,  235
  260,20160729,  212
  260,20160730,  209
  260,20160731,  205
  260,20160801,  210
  260,20160802,  186
  260,20160803,  217
  260,20160804,  208
  260,20160805,  216
  260,20160806,  224
  260,20160807,  228
  260,20160808,  205
  260,20160809,  185
  260,20160810,  168
  260,20160811,  163
  260,20160812,  226
  260,20160813,  215
  260,20160814,  217
  260,20160815,  217
  260,20160816,  210
  260,20160817,  234
  260,20160818,  242
  260,20160819,  243
  260,20160820,  229
  260,20160821,  198
  260,20160822,  227
  260,20160823,  269
  260,20160824,  302
  260,20160825,  310
  260,20160826,  262
  260,20160827,  265
  260,20160828,  246
  260,20160829,  214
  260,20160830,  238
  260,20160831,  254
  260,20160901,  229
  260,20160902,  217
  260,20160903,  229
  260,20160904,  213
  260,20160905,  228
  260,20160906,  242
  260,20160907,  268
  260,20160908,  276
  260,20160909,  229
  260,20160910,  257
  260,20160911,  217
  260,20160912,  281
  260,20160913,  312
  260,20160914,  314
  260,20160915,  290
  260,20160916,  212
  260,20160917,  216
  260,20160918,  207
  260,20160919,  198
  260,20160920,  200
  260,20160921,  207
  260,20160922,  213
  260,20160923,  203
  260,20160924,  236
  260,20160925,  243
  260,20160926,  191
  260,20160927,  204
  260,20160928,  216
  260,20160929,  177
  260,20160930,  187
  260,20161001,  176
  260,20161002,  157
  260,20161003,  190
  260,20161004,  173
  260,20161005,  141
  260,20161006,  127
  260,20161007,  145
  260,20161008,  142
  260,20161009,  145
  260,20161010,  135
  260,20161011,  131
  260,20161012,  110
  260,20161013,  114
  260,20161014,  134
  260,20161015,  137
  260,20161016,  188
  260,20161017,  163
  260,20161018,  128
  260,20161019,  120
  260,20161020,  120
  260,20161021,  127
  260,20161022,  104
  260,20161023,  116
