Place,Months,Average_high_temp,Average_low_temp,Average_temp,Hours of sunshine,Artificial_date
Kuopio,Jan,-8,-15,-11.5,22,01012012
Kuopio,Feb,-7,-14,-10.5,52,01022012
Kuopio,Mar,-1,-10,-5.5,155,01032012
Kuopio,Apr,5,-3,1,165,01042012
Kuopio,May,14,4,9,225,01052012
Kuopio,Jun,19,10,14.5,259,01062012
Kuopio,Jul,21,13,17,253,01072012
Kuopio,Aug,18,11,14.5,181,01082012
Kuopio,Sep,12,6,9,113,01092012
Kuopio,Oct,6,2,4,65,01102012
Kuopio,Nov,0,-4,-2,20,01112012
Kuopio,Dec,-5,-11,-8,8,01122012
Amsterdam,Jan,5,1,3,53,01012012
Amsterdam,Feb,6,0,3,80,01022012
Amsterdam,Mar,9,2,5.5,116,01032012
Amsterdam,Apr,12,4,8,166,01042012
Amsterdam,May,17,8,12.5,217,01052012
Amsterdam,Jun,19,10,14.5,200,01062012
Amsterdam,Jul,21,13,17,208,01072012
Amsterdam,Aug,22,12,17,201,01082012
Amsterdam,Sep,18,10,14,133,01092012
Amsterdam,Oct,14,7,10.5,103,01102012
Amsterdam,Nov,9,4,6.5,58,011112012
Amsterdam,Dec,7,2,4.5,45,01122012
